function,method,converged,iterations,time_sec,f_calls,g_calls,f_best,f_gap,x_err_l2,best_lr
quadratic_bad_4,gradient_descent,True,899,0.017307299998719827,5389,899,-0.7475000000000002,-2.220446049250313e-16,7.200403154367872e-09,0.3
quadratic_bad_4,nelder_mead,True,121,0.0036877000002277782,1421,0,-0.7474999972439402,2.756059713782122e-09,6.370971427701484e-05,
quadratic_good_6,gradient_descent,True,65,0.0008082000003923895,137,65,-3.9589788866104665,-4.440892098500626e-16,8.529733083874217e-09,0.3
quadratic_good_6,nelder_mead,True,203,0.012005900000076508,3159,0,-3.95897887606189,1.0548576234725715e-08,0.0001477200819352219,
rosenbrock_3,gradient_descent,False,4000,0.041510099999868544,30023,4000,1.183154929241685e-06,1.183154929241685e-06,0.002219361380617138,0.1
rosenbrock_3,nelder_mead,True,213,0.0028270000002521556,2068,0,3.477676497046465e-09,3.477676497046465e-09,9.402996576056595e-05,
